id,answers
1,"int"
2,"deprimat,melancolic,bucuros"
3,"foarte multe,are suficiente,nu prea"
4,"nu prea,poti sa incerci,rupi podeaua"
5,"este mai inceata,are suficienta energie,iti da aaaripi"
6,"foarte multe,are suficiente,este aproape numai instrument"
7,"100% inregistrata,inregistrata dar are si ceva audienta,clar demonstratie live"
8,"clar nezgomotoasa,nu prea zgomotoasa,foarte zgomotoasa"
9,"trist,fericit"
10,"nu prea,are suficiente cuvinte,are foarte multe"
11,"incet,intre incet si rapid,foarte rapid"
